Your Checkout Progress,Оформление заказа
Card Verification Number,CVV
Items %1-%2 of %3,% 3 шт
Regular Price,был
Shop By,Фильтр
Remove item,Удалить
Proceed to Checkout,Перейти к оформлению заказа
Grand Total,итог по смете
Review by,По
View Order,Посмотреть
Update Shopping Cart,Обновить корзину
Print Order,Распечатать
Move to Wish List,Переехать
Copy to Wish List,копия
Move Selected to Wish List,Переместить выбранные в список желаний
Copy Selected to Wish List,Копировать выбранные в список желаний
%1 items in wish list,%1 шт
1 item in wish list,1 пункт
Continue to Shipping Information,Выберите метод доставки
We can't find posts matching the selection.,"Мы не можем найти сообщения, соответствующие выбор."
Read more &#187;,Подробнее &#187;
Related Posts,Похожие сообщения
Related Products,сопутствующие товары
Add to Cart,добавить в корзину
In stock,В наличии
Out of stock,Распродано
Add to Wish List,Добавить в список желаний
Add to Compare,Добавить к сравнению
Read more >,Подробнее>
Archive,Архив
Archive %s,Архив %s
Categories,категории
Recent Posts,Недавние Посты
RSS Feed,Новостная лента
Search,Поиск
Search posts here...,Поиск сообщения здесь ...
None,Никто
Quantity,Количество
Choose a selection...,Выберите выбор ...
Compare Products,Сравнение товаров
Compare,сравнить
We can't find products matching the selection.,"Мы не можем найти продукты, соответствующие выбор."
Qty,Кол-во
Ends In:,Окончание в:
"Day(s), ","День (и),"
Learn More,Учить больше
Loading ...,Loading ...
Load More ...,Загрузи больше ...
We found other products you might like!,"Мы нашли другие продукты, которые могут вам понравиться!"
More Choices:,Больше выбора:
New Products,новые продукты
Check items to add to the cart or,Проверить товары для добавления в корзину или
select all,выбрать все
Regular Price,Обычная цена
Special Price,Специальная цена
Offer Ends In:,Предложение заканчивается в:
Days,дней
Hours,часов
Minutes,минут
Seconds,секунд
Loading...,Загрузка...
Previous Product,Предыдущий товар
Next Product,Следующий продукт
Availability,Доступность
Availability:,Доступность:
Your search returned no results.,По Вашему запросу нет результатов.
Update Cart,Обновить корзину
Item,Пункт
Price,Цена
See price before order confirmation.,Посмотреть цену до подтверждения заказа.
What's this?,Что это?
Subtotal,Промежуточный итог
Cart,телега
Contact,контакт
Details,Детали
* Required Fields,* Обязательные для заполнения поля
Write,Написать
Us,Нам
Name,имя
Email,Эл. адрес
Phone Number,Телефонный номер
What’s on your mind?,Что у тебя на уме?
Submit,Отправить
Currency,валюта
Grouped product items,Сгруппированные элементы продукции
Product Name,наименование товара
No options of this product are available.,Без вариантов этого продукта отсутствуют.
Now Shopping by,Сейчас товаров по
Previous,предыдущий
Remove,Удалить
Remove This Item,Убрать этот товар
Shop By,магазин по
Clear All,Очистить все
Shopping Options,Варианты товаров
Please select a shipping address for applicable items.,"Пожалуйста, выберите адрес доставки для соответствующих элементов."
Product,Товар
Send To,Отправить
A shipping selection is not applicable.,Выбор доставки не применяется.
Actions,действия
Remove Item,Удалить объект
Remove item,Удалить объект
Go to Shipping Information,Перейти к упаковке информации
Update Qty &amp; Addresses,Обновление Кол-во &amp; Адреса
Enter a New Address,Введите новый адрес
Back to Shopping Cart,Назад в корзину
Enter your email address,Введите ваш адрес электронной почты
Sign Up for Our Newsletter:,Подпишитесь на нашу рассылку:
Subscribe,Подписывайся
Email Address,Адрес электронной почты
Go!,OK!
Go,OK
Don't show this popup again,Не показывать это всплывающее окно снова
Search...,Поиск...
Language,язык
Add More,Добавить больше
Select Store,Выберите магазин
Your Store,Ваш магазин
Share Wish List,Доля Wish List
Add All to Cart,Добавить все в корзину
Update Wish List,Обновить список желаний
Login By %1,Войти %1
Sign in with %1,Войти на %1
Shop by,Сортировка по
Load More,Загрузи больше
Contact Us,Связаться с нами
Filter,Фильтр
Toggle Nav,Переключить навигацию
links,связи
Links,связи
Password,пароль
Sign In,Войти в систему
Forgot Your Password?,Забыли Ваш пароль?
My Cart,Моя тележка
Close,Закрыть
item,пункт
items,Предметы
Go to Checkout,Перейти к оформлению заказа
Recently added item(s),Недавно добавленный элемент (ы)
