"You added product %1 to the <a href=""%2"">comparison list</a>.","Вы добавили %1 к <a href=""%2"">списку сравнений</a>.",,
%1 has been added to your Wish List.,Товар %1 был добавлен в избранное.,,
"Click <a href=""%1"">here</a> to continue shopping.","Нажмите <a href=""%1"">сюда</a> чтобы продолжить покупки.",,
You must login or register to add items to your wishlist.,"Вы должны войти или зарегистрироваться, чтобы добавить товар в избранное.",,
* Required Fields,* Обязательные поля,,
This is a required field.,Это обязательное поле.,,
Someone purchased a,Кто-то купил,,
View Cart,В корзину,,
%1 has been updated in your Wish List.,%1 был обновлен в вашем списке избранных.,,
You can create an account after checkout.,Вы можете создать аккаунт после покупки.,,
Comment,Комментарий,,
Comments,Комментарии,,
Your Rating,Ваш отзыв,,
Item in Cart,Товар в корзине,,
Items in Cart,Товара(ов) в корзине,,
Tooltip,Подсказка,,
Order Comment,Комментарии к заказу,,
For delivery questions.,Для вопросов по доставке.,,
We&#039;ll send your order confirmation here.,Мы отправим сюда информацию о заказе.,,
You can track your order status by creating an account.,"Вы можете следить за заказом, создав аккаунт.",,
Your order number is:,Ваш номер заказа:,,
Your order # is:,Ваш номер заказа:,,
We'll email you an order confirmation with details and tracking info.,Мы отправим детали заказа на вашу почту.,,
Order details:,Детали заказа:,,
Order Date:,Дата заказа:,,
July,Июль,,
Now Shopping by,Фильтр(ы),,
Go,Поиск,,
Set Ascending Direction,По возростанию,,
Set Descending Direction,По убыванию,,
1 item,1 товар,,
%1 items,%1 товара(ов),,
%1 Item,%1 товар,,
%1 Items,%1 товара(ов),,
item,товар,,
items,товара(ов),,
item,товар,,
items,товара(ов),,
Adding...,Добавляем...,,
Added,Добавлено,,
"You used coupon code ""%1"".","Вы задействовали купон ""%1"".",,
"The coupon code ""%1"" is not valid.","Купон ""%1"" не действителен.",,
You canceled the coupon code.,Вы отменили купон.,,
We cannot apply the coupon code.,Мы не можем применить купон.,,
The coupon code has been accepted.,Купон был применен.,,
Discount,Скидка,,
Discount (%1),Скидка (%1),,
Cancel coupon,Отменить купон,,
Cancel Coupon,Отменить купон,,
We can't find products matching the selection.,Мы не можем найти товары что вы ищите.,,
Please enter a valid email address (Ex: johndoe@domain.com).,Пожалуйста введите корректный email адрес (Например: johndoe@domain.com).,,
Incorrect CAPTCHA,Не верная КАПЧА,,
Incorrect CAPTCHA.,Не верная КАПЧА.,,
Empty Value.,Пустое значение.,,
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Пожалуйста используйте только буквы (а-я или А-Я), числа (0-9) и пробелы.",,
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Пожалуйста используйте только буквы (а-я или А-Я), числа (0-9), нижнее подчеркивание (_), и первый символ должен быть буквой.",,
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Пожалуйста используйте только буквы (а-я или А-Я), числа (0-9), пробелы и ""#"".",,
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Введите корректный телефон. Например (123) 456-7890 или 123-456-7890.,,
Please enter a valid fax number (Ex: 123-456-7890).,Введите корректный номер факса (Например: 123-456-7890).,,
Please enter a valid email address (Ex: johndoe@domain.com).,Введите корректный email (Например: johndoe@domain.com).,,
Please enter 6 or more characters. Leading and trailing spaces will be ignored.,Пожалуйста введите 6 или больше символов. Пробелы буду игнорироватся.,,
"Please enter 7 or more characters, using both numeric and alphabetic.","Пожалуйста введите 7 или больше символов, используя как числа так и буквы.",,
Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.,В этом поле должно быть минимум %1 символов. Пробелы буду игнорироватся.,,
